id,event_type,route,port_id,severity,description,event_date,source
929,freight_anomaly,India-Chennai,15,Medium,[Hay Point / India-Chennai] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2025-10-01,Baltic Exchange Market Monitor
930,geopolitical,Australia-Paradip,10,High,[Tuticorin (V.O.C.) / Australia-Paradip] Red Sea security advisory prompting operators to route via Cape of Good Hope (+14 days).,2023-12-05,Maritime Security Advisory
931,weather,Mozambique-Gangavaram,21,Low,[Samarinda / Mozambique-Gangavaram] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2024-03-04,India Meteorological Department (IMD)
932,port_congestion,Mozambique-Gangavaram,29,Medium,[Port Klang / Mozambique-Gangavaram] High yard inventory utilization (>92%) slowing down discharge rates.,2025-11-13,Terminal Operations Log
933,weather,India-Haldia,29,Medium,[Port Klang / India-Haldia] Dense fog conditions restricting channel navigation to daylight hours only.,2023-10-18,Marine Weather Routing Service
934,port_congestion,Indonesia-Paradip,19,Medium,[Balikpapan / Indonesia-Paradip] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2025-11-03,Terminal Operations Log
935,geopolitical,USA-Mundra,23,High,[Baltimore / USA-Mundra] Sanction compliance verification tightening on Far East coal flows.,2026-01-22,Lloyd's List Intelligence
936,geopolitical,Australia-Mundra,15,Low,[Hay Point / Australia-Mundra] Red Sea security advisory prompting operators to route via Cape of Good Hope (+14 days).,2024-11-25,Maritime Security Advisory
937,geopolitical,USA-Gangavaram,11,Medium,[Mundra / USA-Gangavaram] Canal transit quota reduction increasing reservation auction premiums.,2021-06-07,Lloyd's List Intelligence
938,weather,Indonesia-Paradip,18,High,[Port Hedland / Indonesia-Paradip] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2023-05-20,India Meteorological Department (IMD)
939,port_congestion,Indonesia-Gangavaram,4,Medium,[Dhamra / Indonesia-Gangavaram] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2021-03-23,Terminal Operations Log
940,freight_anomaly,Australia-Gangavaram,23,High,[Baltimore / Australia-Gangavaram] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2022-11-10,FreightIQ Anomaly Engine
941,weather,India-Chennai,4,Low,[Dhamra / India-Chennai] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2021-03-06,JTWC Cyclone Warning
942,port_congestion,USA-Visakhapatnam,23,Low,[Baltimore / USA-Visakhapatnam] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2024-11-24,Port Authority Circular
943,weather,Australia-Haldia,10,Medium,[Tuticorin (V.O.C.) / Australia-Haldia] Dense fog conditions restricting channel navigation to daylight hours only.,2021-03-09,Marine Weather Routing Service
944,freight_anomaly,Mozambique-Visakhapatnam,20,Low,[Tanjung Priok / Mozambique-Visakhapatnam] Sudden freight spike (+18% DoD) driven by tightening Capesize tonnage in Pacific basin.,2025-09-01,FreightIQ Anomaly Engine
945,freight_anomaly,Indonesia-Haldia,7,Low,[Kolkata / Indonesia-Haldia] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2023-05-29,Clarksons Intelligence
946,geopolitical,India-Haldia,31,Low,[Rotterdam / India-Haldia] Export tariff modification announced by major coal-producing authority.,2025-10-03,Ministry Trade Notice
947,geopolitical,Australia-Haldia,12,Low,[Kandla (Deendayal) / Australia-Haldia] Export tariff modification announced by major coal-producing authority.,2024-05-31,Ministry Trade Notice
948,weather,India-Chennai,29,Medium,[Port Klang / India-Chennai] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2021-03-20,JTWC Cyclone Warning
949,freight_anomaly,USA-Visakhapatnam,26,Low,[Vostochny / USA-Visakhapatnam] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2025-03-01,Baltic Exchange Market Monitor
950,freight_anomaly,Indonesia-Mundra,30,High,[Colombo / Indonesia-Mundra] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2024-09-08,FreightIQ Anomaly Engine
951,port_congestion,Australia-Visakhapatnam,18,Low,[Port Hedland / Australia-Visakhapatnam] High yard inventory utilization (>92%) slowing down discharge rates.,2024-12-26,Terminal Operations Log
952,port_congestion,Australia-Paradip,12,Medium,[Kandla (Deendayal) / Australia-Paradip] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2023-09-02,Terminal Operations Log
953,port_congestion,Australia-Gangavaram,27,Low,[Vanino / Australia-Gangavaram] High yard inventory utilization (>92%) slowing down discharge rates.,2024-06-11,Terminal Operations Log
954,port_congestion,India-Chennai,23,Medium,[Baltimore / India-Chennai] High yard inventory utilization (>92%) slowing down discharge rates.,2024-11-08,AIS Congestion Tracker
955,port_congestion,Australia-Mundra,24,Low,[Maputo / Australia-Mundra] High yard inventory utilization (>92%) slowing down discharge rates.,2025-04-30,Port Authority Circular
956,weather,Australia-Gangavaram,11,Medium,[Mundra / Australia-Gangavaram] Dense fog conditions restricting channel navigation to daylight hours only.,2024-12-10,India Meteorological Department (IMD)
957,weather,Australia-Dhamra,3,Medium,[Gangavaram / Australia-Dhamra] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2023-09-29,Marine Weather Routing Service
958,freight_anomaly,USA-Paradip,25,Medium,[Beira / USA-Paradip] Sudden freight spike (+18% DoD) driven by tightening Capesize tonnage in Pacific basin.,2025-02-26,FreightIQ Anomaly Engine
959,weather,Indonesia-Visakhapatnam,26,Low,[Vostochny / Indonesia-Visakhapatnam] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2025-10-17,India Meteorological Department (IMD)
960,weather,Australia-Gopalpur,28,Low,[Singapore / Australia-Gopalpur] Dense fog conditions restricting channel navigation to daylight hours only.,2025-05-14,India Meteorological Department (IMD)
961,weather,Australia-Paradip,7,Medium,[Kolkata / Australia-Paradip] Dense fog conditions restricting channel navigation to daylight hours only.,2022-04-07,JTWC Cyclone Warning
962,weather,India-Chennai,30,High,[Colombo / India-Chennai] Dense fog conditions restricting channel navigation to daylight hours only.,2023-08-11,India Meteorological Department (IMD)
963,weather,Indonesia-Haldia,17,High,[Newcastle / Indonesia-Haldia] Dense fog conditions restricting channel navigation to daylight hours only.,2022-04-04,Marine Weather Routing Service
964,freight_anomaly,USA-Gangavaram,15,High,[Hay Point / USA-Gangavaram] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2025-02-10,Clarksons Intelligence
965,freight_anomaly,Indonesia-Gangavaram,11,Low,[Mundra / Indonesia-Gangavaram] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2025-12-13,Baltic Exchange Market Monitor
966,weather,Mozambique-Paradip,1,Low,[Paradip / Mozambique-Paradip] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2021-11-15,JTWC Cyclone Warning
967,geopolitical,Mozambique-Visakhapatnam,29,Medium,[Port Klang / Mozambique-Visakhapatnam] Sanction compliance verification tightening on Far East coal flows.,2022-03-15,Maritime Security Advisory
968,geopolitical,USA-Mundra,26,High,[Vostochny / USA-Mundra] Export tariff modification announced by major coal-producing authority.,2021-11-28,Lloyd's List Intelligence
969,port_congestion,India-Chennai,6,Low,[Haldia / India-Chennai] High yard inventory utilization (>92%) slowing down discharge rates.,2022-08-18,Terminal Operations Log
970,port_congestion,Australia-Visakhapatnam,20,High,[Tanjung Priok / Australia-Visakhapatnam] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2025-03-23,AIS Congestion Tracker
971,weather,Russia-Visakhapatnam,27,Low,[Vanino / Russia-Visakhapatnam] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2021-03-29,Marine Weather Routing Service
972,geopolitical,Russia-Paradip,25,Low,[Beira / Russia-Paradip] Export tariff modification announced by major coal-producing authority.,2023-12-14,Lloyd's List Intelligence
973,weather,Indonesia-Visakhapatnam,20,Medium,[Tanjung Priok / Indonesia-Visakhapatnam] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2021-06-15,JTWC Cyclone Warning
974,port_congestion,USA-Mundra,13,High,[Nhava Sheva (JNPT) / USA-Mundra] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2023-10-09,Terminal Operations Log
975,port_congestion,Indonesia-Mundra,30,High,[Colombo / Indonesia-Mundra] High yard inventory utilization (>92%) slowing down discharge rates.,2023-09-13,AIS Congestion Tracker
976,port_congestion,Australia-Gopalpur,9,Low,[Kamarajar (Ennore) / Australia-Gopalpur] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2024-02-23,AIS Congestion Tracker
977,port_congestion,Indonesia-Mundra,29,Low,[Port Klang / Indonesia-Mundra] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2023-08-10,Terminal Operations Log
978,weather,Australia-Paradip,6,Low,[Haldia / Australia-Paradip] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2022-04-28,JTWC Cyclone Warning
979,port_congestion,Russia-Visakhapatnam,14,Low,[Cochin / Russia-Visakhapatnam] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2023-07-10,AIS Congestion Tracker
980,freight_anomaly,Indonesia-Dhamra,5,Medium,[Gopalpur / Indonesia-Dhamra] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2025-01-10,Baltic Exchange Market Monitor
981,geopolitical,Australia-Gangavaram,29,High,[Port Klang / Australia-Gangavaram] Red Sea security advisory prompting operators to route via Cape of Good Hope (+14 days).,2025-08-02,Ministry Trade Notice
982,weather,India-Chennai,26,Medium,[Vostochny / India-Chennai] Dense fog conditions restricting channel navigation to daylight hours only.,2024-01-14,JTWC Cyclone Warning
983,geopolitical,Indonesia-Gangavaram,32,Low,[Shanghai (Qingdao) / Indonesia-Gangavaram] Sanction compliance verification tightening on Far East coal flows.,2023-08-05,Lloyd's List Intelligence
984,port_congestion,Australia-Visakhapatnam,19,Low,[Balikpapan / Australia-Visakhapatnam] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2024-10-26,Terminal Operations Log
985,port_congestion,Indonesia-Gangavaram,15,Medium,[Hay Point / Indonesia-Gangavaram] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2021-10-05,AIS Congestion Tracker
986,port_congestion,USA-Paradip,11,Medium,[Mundra / USA-Paradip] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2023-08-26,Terminal Operations Log
987,freight_anomaly,Indonesia-Mundra,30,High,[Colombo / Indonesia-Mundra] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2024-08-28,FreightIQ Anomaly Engine
988,freight_anomaly,Russia-Paradip,14,Low,[Cochin / Russia-Paradip] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2024-01-18,FreightIQ Anomaly Engine
989,port_congestion,Australia-Gopalpur,3,Medium,[Gangavaram / Australia-Gopalpur] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2025-02-20,Terminal Operations Log
990,port_congestion,USA-Mundra,32,Low,[Shanghai (Qingdao) / USA-Mundra] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2023-06-08,Port Authority Circular
991,port_congestion,Mozambique-Gangavaram,29,Low,[Port Klang / Mozambique-Gangavaram] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2021-11-29,Port Authority Circular
992,port_congestion,Australia-Mundra,4,Medium,[Dhamra / Australia-Mundra] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2024-12-18,AIS Congestion Tracker
993,port_congestion,Australia-Gopalpur,1,Low,[Paradip / Australia-Gopalpur] High yard inventory utilization (>92%) slowing down discharge rates.,2021-09-11,Terminal Operations Log
994,port_congestion,Australia-Dhamra,23,Low,[Baltimore / Australia-Dhamra] High yard inventory utilization (>92%) slowing down discharge rates.,2026-01-03,AIS Congestion Tracker
995,port_congestion,Australia-Paradip,14,Medium,[Cochin / Australia-Paradip] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2021-05-08,Terminal Operations Log
996,geopolitical,USA-Gangavaram,2,Low,[Visakhapatnam / USA-Gangavaram] Red Sea security advisory prompting operators to route via Cape of Good Hope (+14 days).,2025-07-29,Lloyd's List Intelligence
997,freight_anomaly,Australia-Gangavaram,19,Medium,[Balikpapan / Australia-Gangavaram] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2026-01-13,FreightIQ Anomaly Engine
998,weather,USA-Paradip,12,Medium,[Kandla (Deendayal) / USA-Paradip] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2023-07-30,JTWC Cyclone Warning
999,freight_anomaly,Indonesia-Paradip,2,Medium,[Visakhapatnam / Indonesia-Paradip] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2023-10-28,FreightIQ Anomaly Engine
1000,weather,Mozambique-Paradip,26,Low,[Vostochny / Mozambique-Paradip] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2021-11-09,India Meteorological Department (IMD)
1001,freight_anomaly,Indonesia-Visakhapatnam,32,Low,[Shanghai (Qingdao) / Indonesia-Visakhapatnam] Sudden freight spike (+18% DoD) driven by tightening Capesize tonnage in Pacific basin.,2022-11-07,Baltic Exchange Market Monitor
1002,geopolitical,Australia-Haldia,7,Low,[Kolkata / Australia-Haldia] Export tariff modification announced by major coal-producing authority.,2024-11-01,Ministry Trade Notice
1003,geopolitical,Australia-Haldia,31,Medium,[Rotterdam / Australia-Haldia] Sanction compliance verification tightening on Far East coal flows.,2024-09-21,Lloyd's List Intelligence
1004,freight_anomaly,Indonesia-Dhamra,26,Low,[Vostochny / Indonesia-Dhamra] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2025-08-21,Clarksons Intelligence
1005,geopolitical,Indonesia-Gangavaram,8,Medium,[Chennai / Indonesia-Gangavaram] Red Sea security advisory prompting operators to route via Cape of Good Hope (+14 days).,2024-11-08,Maritime Security Advisory
1006,port_congestion,Indonesia-Dhamra,28,Low,[Singapore / Indonesia-Dhamra] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2025-11-24,Port Authority Circular
1007,freight_anomaly,Indonesia-Mundra,7,Medium,[Kolkata / Indonesia-Mundra] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2022-08-03,Clarksons Intelligence
1008,weather,Australia-Gopalpur,29,Low,[Port Klang / Australia-Gopalpur] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2023-04-15,JTWC Cyclone Warning
1009,port_congestion,USA-Paradip,17,High,[Newcastle / USA-Paradip] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2021-02-16,Port Authority Circular
1010,port_congestion,Russia-Visakhapatnam,26,Low,[Vostochny / Russia-Visakhapatnam] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2024-10-13,Terminal Operations Log
1011,port_congestion,Mozambique-Visakhapatnam,27,High,[Vanino / Mozambique-Visakhapatnam] High yard inventory utilization (>92%) slowing down discharge rates.,2025-09-14,Port Authority Circular
1012,weather,Indonesia-Paradip,6,Medium,[Haldia / Indonesia-Paradip] Dense fog conditions restricting channel navigation to daylight hours only.,2021-09-16,Marine Weather Routing Service
1013,weather,Indonesia-Haldia,30,Medium,[Colombo / Indonesia-Haldia] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2025-02-19,JTWC Cyclone Warning
1014,port_congestion,USA-Mundra,2,Low,[Visakhapatnam / USA-Mundra] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2024-08-03,Port Authority Circular
1015,weather,Mozambique-Visakhapatnam,31,Low,[Rotterdam / Mozambique-Visakhapatnam] Dense fog conditions restricting channel navigation to daylight hours only.,2025-04-28,Marine Weather Routing Service
1016,geopolitical,Russia-Paradip,18,High,[Port Hedland / Russia-Paradip] Export tariff modification announced by major coal-producing authority.,2022-12-10,Lloyd's List Intelligence
1017,geopolitical,India-Chennai,23,High,[Baltimore / India-Chennai] Export tariff modification announced by major coal-producing authority.,2024-02-11,Ministry Trade Notice
1018,weather,Indonesia-Dhamra,32,Low,[Shanghai (Qingdao) / Indonesia-Dhamra] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2022-05-30,Marine Weather Routing Service
1019,weather,Indonesia-Mundra,6,Low,[Haldia / Indonesia-Mundra] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2023-05-25,JTWC Cyclone Warning
1020,port_congestion,Indonesia-Mundra,26,Low,[Vostochny / Indonesia-Mundra] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2021-10-14,AIS Congestion Tracker
1021,port_congestion,Indonesia-Paradip,14,Medium,[Cochin / Indonesia-Paradip] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2021-04-12,AIS Congestion Tracker
1022,port_congestion,USA-Visakhapatnam,27,High,[Vanino / USA-Visakhapatnam] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2021-10-26,Terminal Operations Log
1023,freight_anomaly,Australia-Haldia,14,Medium,[Cochin / Australia-Haldia] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2021-11-18,Baltic Exchange Market Monitor
1024,freight_anomaly,Australia-Gangavaram,19,Low,[Balikpapan / Australia-Gangavaram] Sudden freight spike (+18% DoD) driven by tightening Capesize tonnage in Pacific basin.,2021-03-31,Clarksons Intelligence
1025,freight_anomaly,Australia-Gopalpur,14,Low,[Cochin / Australia-Gopalpur] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2024-06-27,Baltic Exchange Market Monitor
1026,port_congestion,USA-Visakhapatnam,20,Medium,[Tanjung Priok / USA-Visakhapatnam] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2023-10-18,AIS Congestion Tracker
1027,freight_anomaly,Russia-Visakhapatnam,18,High,[Port Hedland / Russia-Visakhapatnam] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2024-12-14,Clarksons Intelligence
1028,port_congestion,Australia-Gopalpur,16,Low,[Gladstone / Australia-Gopalpur] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2021-06-18,Port Authority Circular
1029,freight_anomaly,Mozambique-Visakhapatnam,4,Low,[Dhamra / Mozambique-Visakhapatnam] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2024-05-13,FreightIQ Anomaly Engine
1030,weather,Australia-Dhamra,32,Low,[Shanghai (Qingdao) / Australia-Dhamra] Dense fog conditions restricting channel navigation to daylight hours only.,2021-10-16,Marine Weather Routing Service
1031,geopolitical,USA-Visakhapatnam,19,High,[Balikpapan / USA-Visakhapatnam] Red Sea security advisory prompting operators to route via Cape of Good Hope (+14 days).,2025-01-02,Ministry Trade Notice
1032,weather,Russia-Visakhapatnam,9,Low,[Kamarajar (Ennore) / Russia-Visakhapatnam] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2024-01-11,JTWC Cyclone Warning
1033,weather,India-Chennai,2,Low,[Visakhapatnam / India-Chennai] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2024-09-13,India Meteorological Department (IMD)
1034,weather,Indonesia-Visakhapatnam,13,Low,[Nhava Sheva (JNPT) / Indonesia-Visakhapatnam] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2023-09-11,India Meteorological Department (IMD)
1035,port_congestion,Mozambique-Paradip,16,Low,[Gladstone / Mozambique-Paradip] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2023-06-29,AIS Congestion Tracker
1036,weather,Australia-Haldia,6,Low,[Haldia / Australia-Haldia] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2025-05-15,Marine Weather Routing Service
1037,port_congestion,Indonesia-Dhamra,21,Low,[Samarinda / Indonesia-Dhamra] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2025-03-30,AIS Congestion Tracker
1038,freight_anomaly,Australia-Gangavaram,28,Low,[Singapore / Australia-Gangavaram] Sudden freight spike (+18% DoD) driven by tightening Capesize tonnage in Pacific basin.,2025-01-01,FreightIQ Anomaly Engine
1039,freight_anomaly,Russia-Paradip,6,Medium,[Haldia / Russia-Paradip] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2023-08-13,FreightIQ Anomaly Engine
1040,freight_anomaly,USA-Mundra,19,Medium,[Balikpapan / USA-Mundra] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2021-07-19,Baltic Exchange Market Monitor
1041,port_congestion,Mozambique-Gangavaram,13,Low,[Nhava Sheva (JNPT) / Mozambique-Gangavaram] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2021-08-16,Terminal Operations Log
1042,freight_anomaly,Australia-Dhamra,6,Low,[Haldia / Australia-Dhamra] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2023-10-22,Baltic Exchange Market Monitor
1043,weather,Russia-Paradip,28,Low,[Singapore / Russia-Paradip] Dense fog conditions restricting channel navigation to daylight hours only.,2024-02-18,JTWC Cyclone Warning
1044,weather,Indonesia-Dhamra,9,Medium,[Kamarajar (Ennore) / Indonesia-Dhamra] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2023-04-01,JTWC Cyclone Warning
1045,port_congestion,USA-Gangavaram,24,Low,[Maputo / USA-Gangavaram] High yard inventory utilization (>92%) slowing down discharge rates.,2023-11-20,Port Authority Circular
1046,weather,Russia-Visakhapatnam,1,Low,[Paradip / Russia-Visakhapatnam] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2021-03-25,India Meteorological Department (IMD)
1047,freight_anomaly,Australia-Dhamra,9,Low,[Kamarajar (Ennore) / Australia-Dhamra] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2022-04-18,FreightIQ Anomaly Engine
1048,port_congestion,Australia-Gopalpur,32,High,[Shanghai (Qingdao) / Australia-Gopalpur] High yard inventory utilization (>92%) slowing down discharge rates.,2025-06-08,AIS Congestion Tracker
1049,geopolitical,Indonesia-Visakhapatnam,16,High,[Gladstone / Indonesia-Visakhapatnam] Export tariff modification announced by major coal-producing authority.,2022-03-19,Lloyd's List Intelligence
1050,geopolitical,USA-Gangavaram,14,High,[Cochin / USA-Gangavaram] Sanction compliance verification tightening on Far East coal flows.,2023-06-29,Ministry Trade Notice
1051,freight_anomaly,USA-Visakhapatnam,29,Low,[Port Klang / USA-Visakhapatnam] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2022-12-06,Baltic Exchange Market Monitor
1052,port_congestion,Mozambique-Gangavaram,17,Medium,[Newcastle / Mozambique-Gangavaram] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2024-10-14,AIS Congestion Tracker
1053,geopolitical,Australia-Paradip,20,Low,[Tanjung Priok / Australia-Paradip] Canal transit quota reduction increasing reservation auction premiums.,2025-12-11,Ministry Trade Notice
1054,port_congestion,Mozambique-Visakhapatnam,14,Medium,[Cochin / Mozambique-Visakhapatnam] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2021-12-30,Terminal Operations Log
1055,weather,Indonesia-Dhamra,13,High,[Nhava Sheva (JNPT) / Indonesia-Dhamra] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2022-04-09,Marine Weather Routing Service
1056,freight_anomaly,India-Haldia,17,Low,[Newcastle / India-Haldia] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2024-10-29,Clarksons Intelligence
1057,geopolitical,Indonesia-Mundra,6,Low,[Haldia / Indonesia-Mundra] Canal transit quota reduction increasing reservation auction premiums.,2024-12-18,Maritime Security Advisory
1058,freight_anomaly,Russia-Paradip,17,High,[Newcastle / Russia-Paradip] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2023-03-09,Clarksons Intelligence
1059,weather,Russia-Paradip,1,Medium,[Paradip / Russia-Paradip] Dense fog conditions restricting channel navigation to daylight hours only.,2025-09-27,JTWC Cyclone Warning
1060,port_congestion,Australia-Visakhapatnam,28,Medium,[Singapore / Australia-Visakhapatnam] High yard inventory utilization (>92%) slowing down discharge rates.,2021-03-08,AIS Congestion Tracker
1061,weather,Australia-Mundra,20,Medium,[Tanjung Priok / Australia-Mundra] Dense fog conditions restricting channel navigation to daylight hours only.,2022-02-22,JTWC Cyclone Warning
1062,freight_anomaly,USA-Gangavaram,27,Low,[Vanino / USA-Gangavaram] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2021-06-30,Clarksons Intelligence
1063,port_congestion,Australia-Haldia,24,Low,[Maputo / Australia-Haldia] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2023-03-05,Port Authority Circular
1064,weather,Australia-Paradip,29,Low,[Port Klang / Australia-Paradip] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2024-03-09,Marine Weather Routing Service
1065,freight_anomaly,Russia-Visakhapatnam,15,Low,[Hay Point / Russia-Visakhapatnam] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2023-04-20,Clarksons Intelligence
1066,port_congestion,Russia-Visakhapatnam,15,Medium,[Hay Point / Russia-Visakhapatnam] High yard inventory utilization (>92%) slowing down discharge rates.,2021-09-30,Port Authority Circular
1067,port_congestion,Indonesia-Visakhapatnam,26,Low,[Vostochny / Indonesia-Visakhapatnam] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2021-04-26,AIS Congestion Tracker
1068,weather,USA-Mundra,23,High,[Baltimore / USA-Mundra] Dense fog conditions restricting channel navigation to daylight hours only.,2024-11-17,India Meteorological Department (IMD)
1069,weather,Australia-Gangavaram,6,High,[Haldia / Australia-Gangavaram] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2025-02-06,JTWC Cyclone Warning
1070,port_congestion,India-Haldia,16,Medium,[Gladstone / India-Haldia] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2022-09-07,Terminal Operations Log
1071,port_congestion,Australia-Gangavaram,4,Medium,[Dhamra / Australia-Gangavaram] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2022-03-24,Terminal Operations Log
1072,port_congestion,USA-Mundra,32,Low,[Shanghai (Qingdao) / USA-Mundra] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2025-02-22,AIS Congestion Tracker
1073,geopolitical,Indonesia-Gangavaram,28,Medium,[Singapore / Indonesia-Gangavaram] Sanction compliance verification tightening on Far East coal flows.,2025-05-10,Maritime Security Advisory
1074,geopolitical,Australia-Gangavaram,12,Medium,[Kandla (Deendayal) / Australia-Gangavaram] Export tariff modification announced by major coal-producing authority.,2025-01-01,Ministry Trade Notice
1075,port_congestion,India-Chennai,1,Low,[Paradip / India-Chennai] High yard inventory utilization (>92%) slowing down discharge rates.,2021-06-14,AIS Congestion Tracker
1076,port_congestion,Indonesia-Dhamra,21,Low,[Samarinda / Indonesia-Dhamra] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2024-12-12,Port Authority Circular
1077,weather,Indonesia-Dhamra,23,Low,[Baltimore / Indonesia-Dhamra] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2023-01-07,Marine Weather Routing Service
1078,port_congestion,Mozambique-Gangavaram,3,Low,[Gangavaram / Mozambique-Gangavaram] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2021-05-28,Terminal Operations Log
1079,freight_anomaly,Russia-Paradip,3,Medium,[Gangavaram / Russia-Paradip] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2024-01-16,FreightIQ Anomaly Engine
1080,port_congestion,India-Haldia,32,Medium,[Shanghai (Qingdao) / India-Haldia] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2021-02-28,AIS Congestion Tracker
1081,freight_anomaly,Australia-Gopalpur,22,Medium,[Norfolk (Hampton Roads) / Australia-Gopalpur] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2022-12-06,Baltic Exchange Market Monitor
